instance,solution,value,expected
in132231_100.txt,out132231_100.txt,320,320
in132231_150.txt,out132231_150.txt,482,482
in132231_200.txt,out132231_200.txt,652,652
in132231_250.txt,out132231_250.txt,790,790
in132231_300.txt,out132231_300.txt,956,956
in132231_350.txt,out132231_350.txt,1074,1074
in132231_400.txt,out132231_400.txt,1199,1199
in132231_450.txt,out132231_450.txt,1372,1372
in132231_50.txt,out132231_50.txt,127,127
in132231_500.txt,out132231_500.txt,1578,1578
in136309_100.txt,out136309_100.txt,852,852
in136309_150.txt,out136309_150.txt,1277,1277
in136309_200.txt,out136309_200.txt,2028,2028
in136309_250.txt,out136309_250.txt,2552,2552
in136309_300.txt,out136309_300.txt,2761,2761
in136309_350.txt,out136309_350.txt,3379,3379
in136309_400.txt,out136309_400.txt,3834,3834
in136309_450.txt,out136309_450.txt,4693,4693
in136309_50.txt,out136309_50.txt,527,527
in136309_500.txt,out136309_500.txt,5707,5707
in136315_100.txt,out136315_100.txt,3592,3592
in136315_150.txt,out136315_150.txt,5544,5544
in136315_200.txt,out136315_200.txt,7553,7553
in136315_250.txt,out136315_250.txt,9454,9454
in136315_300.txt,out136315_300.txt,11638,11638
in136315_350.txt,out136315_350.txt,13490,13490
in136315_400.txt,out136315_400.txt,15285,15285
in136315_450.txt,out136315_450.txt,17704,17704
in136315_50.txt,out136315_50.txt,1695,1695
in136315_500.txt,out136315_500.txt,19190,19190
in136682_100.txt,out136682_100.txt,147,147
in136682_150.txt,out136682_150.txt,376,376
in136682_200.txt,out136682_200.txt,685,685
in136682_250.txt,out136682_250.txt,1722,1722
in136682_300.txt,out136682_300.txt,1250,1250
in136682_350.txt,out136682_350.txt,1838,1838
in136682_400.txt,out136682_400.txt,2235,2235
in136682_450.txt,out136682_450.txt,3441,3441
in136682_50.txt,out136682_50.txt,36,36
in136682_500.txt,out136682_500.txt,3793,3793
in136683_100.txt,out136683_100.txt,730,730
in136683_150.txt,out136683_150.txt,1848,1848
in136683_200.txt,out136683_200.txt,3355,3355
in136683_250.txt,out136683_250.txt,5306,5306
in136683_300.txt,out136683_300.txt,7912,7912
in136683_350.txt,out136683_350.txt,10661,10661
in136683_400.txt,out136683_400.txt,15233,15233
in136683_450.txt,out136683_450.txt,18633,18633
in136683_50.txt,out136683_50.txt,168,168
in136683_500.txt,out136683_500.txt,22932,22932
in136718_100.txt,out136718_100.txt,0,0
in136718_150.txt,out136718_150.txt,0,0
in136718_200.txt,out136718_200.txt,0,0
in136718_250.txt,out136718_250.txt,0,0
in136718_300.txt,out136718_300.txt,0,0
in136718_350.txt,out136718_350.txt,0,0
in136718_400.txt,out136718_400.txt,0,0
in136718_450.txt,out136718_450.txt,0,0
in136718_50.txt,out136718_50.txt,0,0
in136718_500.txt,out136718_500.txt,0,0
in136723_100.txt,out136723_100.txt,33,33
in136723_150.txt,out136723_150.txt,133,133
in136723_200.txt,out136723_200.txt,150,150
in136723_250.txt,out136723_250.txt,197,197
in136723_300.txt,out136723_300.txt,226,226
in136723_350.txt,out136723_350.txt,205,205
in136723_400.txt,out136723_400.txt,1090,1090
in136723_450.txt,out136723_450.txt,260,260
in136723_50.txt,out136723_50.txt,13,13
in136723_500.txt,out136723_500.txt,961,961
in136730_100.txt,out136730_100.txt,16,16
in136730_150.txt,out136730_150.txt,270,270
in136730_200.txt,out136730_200.txt,502,502
in136730_250.txt,out136730_250.txt,812,812
in136730_300.txt,out136730_300.txt,1056,1056
in136730_350.txt,out136730_350.txt,1341,1341
in136730_400.txt,out136730_400.txt,1766,1766
in136730_450.txt,out136730_450.txt,2178,2178
in136730_50.txt,out136730_50.txt,0,0
in136730_500.txt,out136730_500.txt,2625,2625
in136759_100.txt,out136759_100.txt,109,109
in136759_150.txt,out136759_150.txt,311,311
in136759_200.txt,out136759_200.txt,392,392
in136759_250.txt,out136759_250.txt,521,521
in136759_300.txt,out136759_300.txt,722,722
in136759_350.txt,out136759_350.txt,1247,1247
in136759_400.txt,out136759_400.txt,1259,1259
in136759_450.txt,out136759_450.txt,1581,1581
in136759_50.txt,out136759_50.txt,74,74
in136759_500.txt,out136759_500.txt,1837,1837
in136764_100.txt,out136764_100.txt,317,317
in136764_150.txt,out136764_150.txt,733,733
in136764_200.txt,out136764_200.txt,1393,1393
in136764_250.txt,out136764_250.txt,2385,2385
in136764_300.txt,out136764_300.txt,3346,3346
in136764_350.txt,out136764_350.txt,4472,4472
in136764_400.txt,out136764_400.txt,5688,5688
in136764_450.txt,out136764_450.txt,7546,7546
in136764_50.txt,out136764_50.txt,89,89
in136764_500.txt,out136764_500.txt,10252,10252
in136778_100.txt,out136778_100.txt,247,247
in136778_150.txt,out136778_150.txt,356,356
in136778_200.txt,out136778_200.txt,389,389
in136778_250.txt,out136778_250.txt,657,657
in136778_300.txt,out136778_300.txt,691,691
in136778_350.txt,out136778_350.txt,743,743
in136778_400.txt,out136778_400.txt,1224,1224
in136778_450.txt,out136778_450.txt,947,947
in136778_50.txt,out136778_50.txt,119,119
